Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update
Let's Play,Leeanne M. Krecic (Mongie),30.6,Romance,9.62,4.2,"She's young, single and about to achieve her dream of creating incredible videogames. But then life throws her a one-two punch: a popular streamer gives her first game a scathing review. Even worse she finds out that same troublesome critic is now her new neighbor! A funny, sexy and all-too-real story about gaming, memes and social anxiety. Come for the plot, stay for the doggo.", TUESDAY
True Beauty,Yaongyi,39.9,Romance,9.6,6.4,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school's prettiest pretty girl overnight. But will her elite status be short-lived? How long can she keep her real self a secret? And what about that cute boy who knows her secret?", WEDNESDAY
Midnight Poppy Land,Lilydusk,10.4,Romance,9.81,2.1,"After making a grisly discovery in the countryside, a small town book editor's life gets entangled with a young Mafia lord and his intimidating bodyguard...even as every step she takes draws her deeper into the dangerous underworld of the city.", SATURDAY
Age Matters,Enjelicious,25.9,Romance,9.79,3.5,"She's a hopeless romantic who's turning 30's  and is not super happy about it. He's a reclusive billionaire who's hired her to be his assistant , and he's not too happy about that either. Together they rewrite the rules of friendship, love, work and the BEST way to clean someone's apartment.", WEDNESDAY
Unholy Blood,Lina Im / Jeonghyeon Kim,9.9,Supernatural,9.85,1.5,"When vampires destroy her chance to have the normal life she's always wanted, Hayan is forced to draw on her darkest secret to rid the world of the merciless hunters that took it over 10 years ago. With the support of a rising star in the local police force, Hayan steps up to protect her loved ones, face her past, and get her revenge.", THURSDAY
LUMINE,Emma Krogell,18.9,Fantasy,9.82,3.0,"A runaway werewolf, Lumine, meets a witch boy named Kody and is being hired to work as his bodyguard. Lumine, being determined to befriend Kody, tries everything to get Kody to trust him, while Kody tries to keep Lumine away from him. Their life gets even more complicated after an unfortunate event that leaves them to try to survive on their own.", SUNDAY
Jackson's Diary,Paola Batalla,2.9,Supernatural,9.66,649.0,"The year is 1989, and Jackson is starting his senior year at a brand new school. Even though he's back in his hometown with his new family, he can't seem to shake this ominous and uneasy feeling invading his mind. It's not until he meets the popular kid, Exer, that reality starts to feel more like the work of his imagination.", SUNDAY
Teenage Mercenary,YC / Rakyeon,929796.0,Action,9.87,537.6,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?", WEDNESDAY
Nice To Meet You,Wishroomness,5.8,Romance,9.82,1.1,"A ditsy university student Mew finds a lost student card. Instead of doing the sensible thing, Mew decides to let fate take the wheel and try something silly. Little did she know, she would be confronting the owner of the card, Daze who has some things to say about what she did. Did Mew make the biggest mistake of her life? or the best decision of her life? Follow these two adorable goofballs to find out!", MONDAY
I Love Yoo,Quimchee,29.0,Drama,9.78,4.3,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes.", FRIDAY
